selection_rank,proposed_area,area_evidence,hobby_buckets,automated_flags,candidate_id,source_kind,source_name,source_url,registration_urls,title_hint,provider_hint,venue_hint,postal_hint,date_hints,time_hints,cost_hints,age_hints,excerpt_or_notes,missing_for_ckb,review_decision,confirmed_title,confirmed_provider,confirmed_provider_type,confirmed_venue,confirmed_postal_code,confirmed_planning_area,confirmed_nearest_mrt,confirmed_cost_one_off_sgd,confirmed_cost_recurring_sgd,confirmed_equipment_cost_sgd,confirmed_age_min,confirmed_age_max,confirmed_beginner_friendly,confirmed_join_alone_ok,confirmed_guest_allowed,confirmed_commitment,confirmed_schedule_kind,confirmed_weekday,confirmed_start_time,confirmed_duration_min,confirmed_first_session,confirmed_num_sessions,confirmed_fixed_dates,confirmed_open_hours_note,confirmed_weekday_evening_available,confirmed_weekend_available,confirmed_vibes,confirmed_in_incumbent_directory,reviewed_at,reviewed_by,review_notes
1,Jurong West,explicit row text; human must confirm URA boundary,sporty | artistic | chill | explorative,age_requires_confirmation,SOC-018834cf70a1,public_telegram_candidate,Gek Poh Central Residents' Network,https://t.me/gekpohcentral/864,https://t.me/gekpohcentral/864 | https://go.gov.sg/jsgp260926,🌕 Jurong Spring - Gek Poh Mid-Autumn Festival 2026 🏮,Gek Poh Central Residents' Network,,260926,26 Sep 2026,6.00pm | 10.00pm | 5.30pm,$2,,"🌕 Jurong Spring - Gek Poh Mid-Autumn Festival 2026 🏮 Join us for an exciting Mid-Autumn night filled with magic, game booths, stage performances, a lucky draw, and our signature Lantern Procession with LED Lions & Dragons! 🗓 26 Sep 2026 (Sat) | 6.00pm – 10.00pm 📍 Jurong Spring CC",verified_at | verified_by | planning_area | age_min | age_max | beginner_friendly | join_alone_ok | guest_allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Jurong West,explicit row text; human must confirm URA boundary,sporty | chill | explorative,age_requires_confirmation,SOC-d523db6c4892,public_telegram_candidate,Gek Poh Central Residents' Network,https://t.me/gekpohcentral/871,https://t.me/gekpohcentral/871,Let's celebrate Mid-Autumn Festival together as One!,Gek Poh Central Residents' Network,,,20 September 2026,6pm | 9pm,$4,,Let's celebrate Mid-Autumn Festival together as One! Date: 20 September 2026 Time: 6pm - 9pm Venue: Community Hub opp 272D Ticket at $4/pax. Inclusive of bento dinner in reusable lunch box and 3 event coupons! Get your tickets at interim Gek Poh Ville CC at Block 760.,verified_at | verified_by | planning_area | age_min | age_max | beginner_friendly | join_alone_ok | guest_allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Jurong West,explicit row text; human must confirm URA boundary,artistic | chill | explorative,age_requires_confirmation,SOC-18a92663f872,public_telegram_candidate,OneBoonLay,https://t.me/oneboonlay/3931,https://t.me/oneboonlay/3931 | https://go.gov.sg/ccmcmidautumn2026,You're Invited to Boon Lay Mid-Autumn Festival 2026! 🏮🌕,OneBoonLay,,,27 September 2026,6.30pm | 9.30pm,$4,,"You're Invited to Boon Lay Mid-Autumn Festival 2026! 🏮🌕 Celebrate the magic of the Mid-Autumn Festival with an evening filled with joy, laughter, and community spirit! ✨ Join us for: 🎨 Fun carnival games and activities 🏮 Beautiful lantern displays 🎁 Exciting prizes and giveaways ",verified_at | verified_by | planning_area | age_min | age_max | beginner_friendly | join_alone_ok | guest_allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Jurong West,explicit row text; human must confirm URA boundary,artistic | explorative,age_requires_confirmation | cost_requires_confirmation,SOC-ed3a485bc3a6,public_telegram_candidate,OneBoonLay,https://t.me/oneboonlay/3963,https://t.me/oneboonlay/3963,"🎨✨ EXTENDED! More Time to Create, More Chances to Shine! ✨🎨",OneBoonLay,,,13 SEPTEMBER 2026,06:00PM,,,"🎨✨ EXTENDED! More Time to Create, More Chances to Shine! ✨🎨 🗓️ NEW DEADLINE: 13 SEPTEMBER 2026 (SUNDAY), 06:00PM Calling all Boon Lay residents! 🌟 Your creativity deserves the spotlight — and we’re giving you more time to make it happen! 👜🎨 📣 The Boon Lay Tote Bag Design Competit",verified_at | verified_by | cost_one_off_sgd | planning_area | age_min | age_max | beginner_friendly | join_alone_ok | guest_allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Jurong West,explicit row text; human must confirm URA boundary,chill | explorative,age_requires_confirmation,SOC-d18a467f7098,public_telegram_candidate,OneBoonLay,https://t.me/oneboonlay/3952,https://t.me/oneboonlay/3952 | https://go.gov.sg/bl-wcgrc-merku-udayam-2026,Boon Lay CC IAEC presents:,OneBoonLay,,609335,3 October 2026,2.00pm | 6.00pm | 1.45pm | 1:15pm,$5,,"Boon Lay CC IAEC presents: Merku Udayam 2026 – An Indian Cultural Explosion! 🎉✨ Come join us for an exciting afternoon filled with vibrant cultural performances, delicious packed food, fun games and activities, flea market shopping, snacks and a lucky draw! 💃🎶🛍️🍴🎁 📅 Saturday, 3 O",verified_at | verified_by | planning_area | age_min | age_max | beginner_friendly | join_alone_ok | guest_allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Jurong West,explicit row text; human must confirm URA boundary,chill | explorative,age_requires_confirmation,SOC-9a65d4ada9e4,public_telegram_candidate,OneBoonLay,https://t.me/oneboonlay/3968,https://t.me/oneboonlay/3968 | https://go.gov.sg/boonlayglade-greencarnival-2026 | https://go.gov.sg/boonlayglade-green-market-vendor-registration,🌱 GREEN CARNIVAL 2026 is coming to Boon Lay! 🌿✨,OneBoonLay,,,20 September 2026,10:00am | 1:00pm,$5 | $15,,"🌱 GREEN CARNIVAL 2026 is coming to Boon Lay! 🌿✨ Spend your Sunday with us for a fun-filled morning of green activities for the whole family! From terrarium making, floral arrangement and chilli planting to a Green Market Bazaar, food rescue corner, DIY handicrafts, storytelling, ",verified_at | verified_by | planning_area | age_min | age_max | beginner_friendly | join_alone_ok | guest_allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Jurong West,explicit row text; human must confirm URA boundary,chill | explorative,age_requires_confirmation,SOC-6a5912702e28,public_telegram_candidate,OneBoonLay,https://t.me/oneboonlay/3957,https://www.onepa.gov.sg/events/boon-lay-ccc-csn-telematch-valorant-boon-lay-cc-september-2026-e96765259 | https://t.me/oneboonlay/3957,"☕🎮 BOON LAY 'MIND CAFÉ — COME, CHILL & CONNECT! 🎮☕",OneBoonLay,,,20 September 2026,2.00pm | 5.00pm | 8.00pm | 10am | 6pm,FREE,,"☕🎮 BOON LAY 'MIND CAFÉ — COME, CHILL & CONNECT! 🎮☕ Looking for a cosy place to chill, play games and spend time with your friends and family? Come join us at Boon Lay CC MPH! 💛 📅 20 September 2026 (Sunday) ⏰ 2.00pm – 5.00pm (📺 Telematch Valorant Screening: Till 8.00pm) 📍 Boon Lay",verified_at | verified_by | planning_area | age_min | age_max | beginner_friendly | join_alone_ok | guest_allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Jurong West,explicit row text; human must confirm URA boundary,chill | explorative,age_requires_confirmation,SOC-3d17dc53efab,public_telegram_candidate,OneBoonLay,https://t.me/oneboonlay/3960,https://t.me/oneboonlay/3960 | https://go.gov.sg/blccwec-rainbowjelly-mooncake | https://go.gov.sg/blcc-wec-walnut-mooncake | https://go.gov.sg/blcc-wec-oreo-mooncake | https://go.gov.sg/blcc-wec-traditional-eggyolk-mooncake,🌕✨ Mooncake Making Workshops @ Boon Lay CC!🥮🐰,OneBoonLay,,,9 Sept | 12 Sept | 13 Sept,10:30am | 12:30pm | 2pm | 4pm,$20 | $25 | $30,,"🌕✨ Mooncake Making Workshops @ Boon Lay CC!🥮🐰 Mid-Autumn Festival is coming! 🎉 Why not spend some quality time learning to make your own delicious mooncakes? 👩🏻‍🍳👨🏻‍🍳💕 We have 4 exciting workshops for you to choose from: 🌈Rainbow Jelly Mooncake– $20/pax 📅 9 Sept (Wed), 10:30am–12",verified_at | verified_by | planning_area | age_min | age_max | beginner_friendly | join_alone_ok | guest_allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Jurong West,explicit row text; human must confirm URA boundary,explorative,age_requires_confirmation | cost_requires_confirmation,SOC-8ec02d0e04ae,public_telegram_candidate,OneBoonLay,https://t.me/oneboonlay/3946,https://t.me/oneboonlay/3946 | https://go.gov.sg/awnsbt,Looking to make a meaningful impact in our community? Join us to learn how you can help brighten a senior's day!,OneBoonLay,,,19 September 2026,9:30am | 1:00pm,,,Looking to make a meaningful impact in our community? Join us to learn how you can help brighten a senior's day! Everyone especially young adults are welcome to learn practical skills for visiting seniors living alone. Date: 19 September 2026 Time: 9:30am – 1:00pm Venue: Boon Lay,verified_at | verified_by | cost_one_off_sgd | planning_area | age_min | age_max | beginner_friendly | join_alone_ok | guest_allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Jurong West,local source-channel hint only; venue may differ,chill | explorative,date_requires_confirmation | age_requires_confirmation | area_is_source_hint_only,SOC-955f66e9de58,public_telegram_candidate,OneBoonLay,https://t.me/oneboonlay/3935,https://t.me/oneboonlay/3935,🚀 Blast off into a world of creativity! 🪐,OneBoonLay,,,,,$20 | $25 | $10,,"🚀 Blast off into a world of creativity! 🪐 Calling all young space explorers! Join our Pop-Up Book Space Exploration workshop and learn how to create your very own 3D space scenes with planets, astronauts, rockets, and cute aliens! 👽✨ 📖 What you'll learn: ✅ Lift-the-flap features ",verified_at | verified_by | planning_area | age_min | age_max | beginner_friendly | join_alone_ok | guest_allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
